region,fixed_reliability,method,seed,p_mob,placement_trace_path,original_accepted_count,moved_count,moved_ratio,avg_original_delay,p95_original_delay,avg_updated_delay,p95_updated_delay,mobility_induced_qos_violation_ratio,updated_qos_violation_ratio,avg_delay_increment,p95_delay_increment,avg_ingress_backhaul_delay,avg_access_delay_delta
Alabama,0.999,MDCA,4,0.0,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\MDCA\seed4\placement_trace_Alabama_mdca_seed4.json,916,0,0.0,0.056155467705432754,0.11330164971316184,0.056155467705432754,0.11330164971316184,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,0.999,MDCA,4,0.05,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\MDCA\seed4\placement_trace_Alabama_mdca_seed4.json,916,41,0.04475982532751092,0.056155467705432754,0.11330164971316184,0.056348698532773016,0.11330164971316184,0.0,0.0,0.00019323082734026088,0.0,0.00019232128197034412,9.095453699167398e-07
Alabama,0.999,MDCA,4,0.1,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\MDCA\seed4\placement_trace_Alabama_mdca_seed4.json,916,93,0.10152838427947598,0.056155467705432754,0.11330164971316184,0.056593333571404066,0.11356515913414168,0.0,0.0,0.00043786586597131225,0.004093506373453095,0.00043943849392458326,-1.5726279532710885e-06
Alabama,0.999,MDCA,4,0.2,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\MDCA\seed4\placement_trace_Alabama_mdca_seed4.json,916,190,0.2074235807860262,0.056155467705432754,0.11330164971316184,0.05708985202539578,0.1156963028806646,0.001091703056768559,0.001091703056768559,0.0009343843199630279,0.006400310422520002,0.0009307826824862041,3.6016374768236984e-06
Alabama,0.999,DMDCA,4,0.0,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\DMDCA\seed4\placement_trace_Alabama_mdca_seed4.json,1113,0,0.0,0.06510890438516133,0.1270685760309332,0.06510890438516133,0.1270685760309332,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,0.999,DMDCA,4,0.05,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\DMDCA\seed4\placement_trace_Alabama_mdca_seed4.json,1113,55,0.04941599281221923,0.06510890438516133,0.1270685760309332,0.06536256235532367,0.1270685760309332,0.0,0.0,0.0002536579701623311,0.0,0.00025404091085536685,-3.8294069303574827e-07
Alabama,0.999,DMDCA,4,0.1,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\DMDCA\seed4\placement_trace_Alabama_mdca_seed4.json,1113,130,0.11680143755615453,0.06510890438516133,0.1270685760309332,0.06556963952120687,0.12711401682944182,0.0,0.0,0.0004607351360455349,0.0038700282115030848,0.0004686112333303064,-7.876097284771497e-06
Alabama,0.999,DMDCA,4,0.2,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\DMDCA\seed4\placement_trace_Alabama_mdca_seed4.json,1113,207,0.18598382749326145,0.06510890438516133,0.1270685760309332,0.06598666369643064,0.1279397231403136,0.0,0.0,0.0008777593112693008,0.006370112745397861,0.0008723271978860944,5.4321133832062856e-06
Alabama,0.999,MDCA,5,0.0,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\MDCA\seed5\placement_trace_Alabama_mdca_seed5.json,909,0,0.0,0.0539588020094333,0.11484338399910031,0.0539588020094333,0.11484338399910031,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,0.999,MDCA,5,0.05,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\MDCA\seed5\placement_trace_Alabama_mdca_seed5.json,909,51,0.056105610561056105,0.0539588020094333,0.11484338399910031,0.05420253575453251,0.11527576933436348,0.0,0.0,0.0002437337450992145,0.0020084188326163497,0.00024881159445482286,-5.077849355608366e-06
Alabama,0.999,MDCA,5,0.1,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\MDCA\seed5\placement_trace_Alabama_mdca_seed5.json,909,100,0.11001100110011001,0.0539588020094333,0.11484338399910031,0.054477332273750276,0.11484338399910031,0.0,0.0,0.0005185302643169767,0.004922287382084202,0.0005178531333785482,6.771309384286091e-07
Alabama,0.999,MDCA,5,0.2,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\MDCA\seed5\placement_trace_Alabama_mdca_seed5.json,909,187,0.20572057205720573,0.0539588020094333,0.11484338399910031,0.05488460066711221,0.11527576933436348,0.0011001100110011,0.0011001100110011,0.0009257986576789137,0.0060973704540209376,0.0009248685958359606,9.300618429532901e-07
Alabama,0.999,DMDCA,5,0.0,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\DMDCA\seed5\placement_trace_Alabama_mdca_seed5.json,1117,0,0.0,0.06200406442071025,0.12249413117580993,0.06200406442071025,0.12249413117580993,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,0.999,DMDCA,5,0.05,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\DMDCA\seed5\placement_trace_Alabama_mdca_seed5.json,1117,44,0.03939122649955237,0.06200406442071025,0.12249413117580993,0.06216472137625731,0.12292395207176483,0.0,0.0,0.0001606569555470588,0.0,0.00016016333598297262,4.936195640861936e-07
Alabama,0.999,DMDCA,5,0.1,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\DMDCA\seed5\placement_trace_Alabama_mdca_seed5.json,1117,124,0.11101163831692032,0.06200406442071025,0.12249413117580993,0.062481737712976416,0.12337216441017564,0.0,0.0,0.0004776732922661715,0.004152188451844295,0.0004793081146141,-1.63482234792851e-06
Alabama,0.999,DMDCA,5,0.2,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\DMDCA\seed5\placement_trace_Alabama_mdca_seed5.json,1117,235,0.21038495971351837,0.06200406442071025,0.12249413117580993,0.06291099246312896,0.12346739867445143,0.0,0.0,0.0009069280424187183,0.006095124590259987,0.000900209059382623,6.718983036095423e-06
