region,fixed_reliability,method,share,share_tag,acceptance_ratio_mean,acceptance_ratio_std,acceptance_ratio_count,avg_cost_per_accepted_mean,avg_cost_per_accepted_std,avg_cost_per_accepted_count,p95_e2e_delay_accepted_mean,p95_e2e_delay_accepted_std,p95_e2e_delay_accepted_count,avg_e2e_delay_accepted_mean,avg_e2e_delay_accepted_std,avg_e2e_delay_accepted_count,capacity_rejection_ratio_mean,capacity_rejection_ratio_std,capacity_rejection_ratio_count,reliability_rejection_ratio_mean,reliability_rejection_ratio_std,reliability_rejection_ratio_count,qos_rejection_ratio_mean,qos_rejection_ratio_std,qos_rejection_ratio_count,avg_split_overhead_ratio_accepted_mean,avg_split_overhead_ratio_accepted_std,avg_split_overhead_ratio_accepted_count,p95_split_overhead_ratio_accepted_mean,p95_split_overhead_ratio_accepted_std,p95_split_overhead_ratio_accepted_count,avg_split_transmitted_bits_per_accepted_mean,avg_split_transmitted_bits_per_accepted_std,avg_split_transmitted_bits_per_accepted_count,acceptance_ratio_ci95,avg_cost_per_accepted_ci95,p95_e2e_delay_accepted_ci95,avg_e2e_delay_accepted_ci95,capacity_rejection_ratio_ci95,reliability_rejection_ratio_ci95,qos_rejection_ratio_ci95,avg_split_overhead_ratio_accepted_ci95,p95_split_overhead_ratio_accepted_ci95,avg_split_transmitted_bits_per_accepted_ci95
Alabama,0.999,DMDCA,"0.7,0.3",0p7_0p3,0.7901196430199999,0.00780902937597541,5,57.38714270089999,1.847984161567731,5,0.12442100151999999,0.002910507246626623,5,0.06284454751999999,0.0014338298276768801,5,0.0021465753400000003,0.0022154106939281278,5,0.0,0.0,5,0.0066837914400000005,0.002722441200633954,5,0.01232509748,0.000526563591475372,5,0.03579912498,0.0010029768059584534,5,268039.51255857584,8682.228130251662,5,0.006844916045005713,1.6198295369904936,0.002551172084565449,0.001256807257438106,0.0019418930926036833,0.0,0.0023863249270305556,0.00046155333812602134,0.0008791479326476561,7610.308499798221
Alabama,0.999,MDCA,none,none,0.6527365731,0.013395123960183816,5,50.74669985382,1.6494148863271292,5,0.11447439833999999,0.001789758975341364,5,0.05520943478,0.0008306359825579293,5,0.0,0.0,5,0.0,0.0,5,0.00399077206,0.0015989719954797154,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.01174134383486684,1.4457758930995996,0.001568792911023838,0.0007280845404502903,0.0,0.0,0.0014015607497963626,0.0,0.0,0.0
Arizona,0.996,DMDCA,"0.5,0.5",0p5_0p5,0.98666814754,0.004694955925521213,5,45.0502741986,1.9711073028266066,5,0.13649727618000002,0.0009620649329008762,5,0.07049579142,0.000996374603351528,5,0.0,0.0,5,0.0,0.0,5,0.013331852459999998,0.004694955925521211,5,7.042254021e-18,3.8754423749065656e-19,5,4.6351873356e-17,2.0790479392424534e-18,5,415318.68816110014,10598.178066075132,5,0.004115310315525704,1.7277517286660897,0.0008432870947841734,0.0008733608469061731,0.0,0.0,0.0041153103155257,3.396975016524327e-19,1.8223658680857747e-18,9289.712664609364
Arizona,0.996,DMDCA,"0.6,0.4",0p6_0p4,0.98680683412,0.004503417917290173,5,45.004115525740005,1.9848072432272759,5,0.13496885304,0.0017900421891648905,5,0.06988386894000001,0.0009582969513513994,5,0.0,0.0,5,0.0,0.0,5,0.01319316588,0.0045034179172901674,5,0.00589832304,0.00018042246690461815,5,0.01836876168,0.0002987892809779774,5,332374.9196798262,7950.9245218140795,5,0.003947419848907344,1.7397602558913385,0.0015690411588855776,0.0008399843133341952,0.0,0.0,0.003947419848907325,0.00015814726506143748,0.0002619003521402971,6969.2926241805535
Arizona,0.996,DMDCA,"0.7,0.3",0p7_0p3,0.98720061378,0.004229909356709737,5,45.03439794922,1.9507491980560465,5,0.1327890598,0.002061215646906444,5,0.06931993382,0.0007845798857513898,5,0.0,0.0,5,0.0,0.0,5,0.01279938622,0.004229909356709721,5,0.0106220932,0.00032916727675511,5,0.03329451096,0.0007862683476989392,5,250632.86649484007,7967.045738560663,5,0.0037076790252240305,1.709907063051354,0.0018067351746854515,0.0006877145916610943,0.0,0.0,0.003707679025224014,0.0002885278394628215,0.0006891945938124161,6983.423493698489
Arizona,0.996,MDCA,none,none,0.9891351403599999,0.0033180867501888507,5,49.00666922528,2.2648146852061166,5,0.12762892,0.0016045376356816996,5,0.06496703708,0.0007289587072069721,5,0.0,0.0,5,0.0,0.0,5,0.010864859639999998,0.003318086750188834,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.002908431271236151,1.9851976002837801,0.0014064392485297029,0.0006389604790652181,0.0,0.0,0.00290843127123613,0.0,0.0,0.0
Arizona,0.998,DMDCA,"0.5,0.5",0p5_0p5,0.9728230657799999,0.005783227547195654,5,47.48310373988,1.0098245814080367,5,0.13459359056,0.002270709570360281,5,0.0698071031,0.0008995871890964634,5,0.0,0.0,5,0.0,0.0,5,0.01188389274,0.0026476093881117233,5,6.9976484404e-18,4.196759690488708e-19,5,4.6488092706e-17,1.8804458960650484e-18,5,416812.7175288272,11165.941570809942,5,0.005069222450552548,0.885150272476427,0.001990364694942093,0.000788522937751,0.0,0.0,0.002320731951316299,3.6786220616401795e-19,1.648283501831885e-18,9787.379318967744
Arizona,0.998,DMDCA,"0.6,0.4",0p6_0p4,0.9738421191200001,0.004728679816638028,5,47.47729291468,0.9936903106502483,5,0.13414828557999997,0.003193227950691896,5,0.06922543294,0.001152423011525992,5,0.0,0.0,5,0.0,0.0,5,0.0108648394,0.0011804663989484479,5,0.005996182080000001,0.00015094080960403644,5,0.01841328834,0.000265263802090783,5,333552.8250602528,8737.732988622702,5,0.004144870609422853,0.8710079606131599,0.0027989877080365753,0.001010143307502,0.0,0.0,0.0010347244203756211,0.00013230545305456358,0.00023251397423045624,7658.960653266682
Arizona,0.998,DMDCA,"0.7,0.3",0p7_0p3,0.97398209698,0.005747687226548966,5,47.479674312140006,0.9511122014793132,5,0.13260764492,0.00233266068904887,5,0.0687673983,0.0011074038058922068,5,0.0,0.0,5,0.0,0.0,5,0.01072486154,0.0019054708459260439,5,0.0107473445,0.0002487657517945542,5,0.03313739302,0.00031591556312521535,5,251490.1616717969,7388.279733789882,5,0.005038069985972559,0.8336866024009912,0.002044667244708673,0.0009706822338986462,0.0,0.0,0.0016702188375287874,0.00021805279554269405,0.00027691220032485917,6476.112722842987
Arizona,0.998,MDCA,none,none,0.94990674414,0.004250092356304504,5,49.61207679836,0.9860101673269487,5,0.1251082905,0.00359849840934563,5,0.06355944468,0.0010158729468827787,5,0.0,0.0,5,0.0,0.0,5,0.007746228220000001,0.001407272050614576,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0037253702043848476,0.864276018174408,0.0031542229276069,0.0008904518985673056,0.0,0.0,0.0012335283394598084,0.0,0.0,0.0
