region,fixed_reliability,seed,method,share,share_tag,domain_count,domain_failure_prob,total_accepted,expected_target_satisfaction_ratio,expected_reliability,expected_reliability_loss
Alabama,0.996,2,MDCA,none,none,6,0.03,1347,0.9004270418161818,0.9738856792440416,0.023981746049724
Alabama,0.996,2,MDCA,none,none,6,0.05,1347,0.8388260688335191,0.95706314294955,0.0408042823442155
Alabama,0.996,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1406,1.0,0.9979184312837036,1.1102230246251563e-15
Alabama,0.996,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1406,0.9656405681905176,0.9910482904055136,0.006870140878191
Alabama,0.996,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1406,0.8998828140746596,0.976704812390972,0.0212136188927327
Alabama,0.996,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1406,0.8379179501689187,0.961580334839952,0.0363380964437527
Alabama,0.996,3,MDCA,none,none,6,0.0,1369,1.0,0.997933356408004,6.661338147750939e-16
Alabama,0.996,3,MDCA,none,none,6,0.01,1369,0.9667207427942828,0.9895765289151712,0.0083568274928333
Alabama,0.996,3,MDCA,none,none,6,0.03,1369,0.902989152141064,0.9723892028829328,0.0255441535250718
Alabama,0.996,3,MDCA,none,none,6,0.05,1369,0.8428775695420926,0.9545929497446094,0.0433404066633953
Alabama,0.996,4,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1404,1.0,0.9978566326500404,8.881784197001252e-16
Alabama,0.996,4,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1404,0.9651448100194296,0.9904540169861996,0.0074026156638419
Alabama,0.996,4,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1404,0.8984925732957203,0.9750863864765796,0.0227702461734619
Alabama,0.996,4,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1404,0.835753640480324,0.9589926130723044,0.0388640195777368
Alabama,0.996,4,MDCA,none,none,6,0.0,1387,1.0,0.9978668176512168,8.881784197001252e-16
Alabama,0.996,4,MDCA,none,none,6,0.01,1387,0.9657842244589528,0.9896918115935956,0.0081750060576218
Alabama,0.996,4,MDCA,none,none,6,0.03,1387,0.9003198505573697,0.9728546755320931,0.0250121421191242
Alabama,0.996,4,MDCA,none,none,6,0.05,1387,0.8386538681506851,0.9553896139128484,0.0424772037383692
Alabama,0.996,5,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1395,1.0,0.9978938718985424,1.3322676295501878e-15
Alabama,0.996,5,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1395,0.9655906901067224,0.9904909720981466,0.0074028998003969
Alabama,0.996,5,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1395,0.8997896968639871,0.9751279949559906,0.022765876942553
Alabama,0.996,5,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1395,0.8378496487231181,0.9590440730936124,0.0388497988049313
Alabama,0.996,5,MDCA,none,none,6,0.0,1352,1.0,0.99792410693838,1.1102230246251563e-15
Alabama,0.996,5,MDCA,none,none,6,0.01,1352,0.9663080782533016,0.9899850836423992,0.0079390232959818
Alabama,0.996,5,MDCA,none,none,6,0.03,1352,0.9018204273208992,0.9735936745481124,0.0243304323902684
Alabama,0.996,5,MDCA,none,none,6,0.05,1352,0.8410410288461542,0.956539996355466,0.0413841105829149
Alabama,0.998,1,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1340,1.0,0.9988414733518944,-5.551115123125784e-16
Alabama,0.998,1,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1340,0.9648322946130492,0.9921533554571422,0.0066881178947515
Alabama,0.998,1,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1340,0.8976632944946972,0.978206429737632,0.0206350436142617
Alabama,0.998,1,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1340,0.8345403307602606,0.9635147186257208,0.035326754726173
Alabama,0.998,1,MDCA,none,none,6,0.0,1280,1.0,0.99885502629458,3.3306690738754696e-16
Alabama,0.998,1,MDCA,none,none,6,0.01,1280,0.964941864961697,0.991828437017924,0.0070265892766561
Alabama,0.998,1,MDCA,none,none,6,0.03,1280,0.8979600844384281,0.9772315165036816,0.0216235097908987
Alabama,0.998,1,MDCA,none,none,6,0.05,1280,0.8349857794433593,0.961926481248366,0.0369285450462142
Alabama,0.998,2,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1326,1.0,0.9988470006261304,-3.3306690738754696e-16
Alabama,0.998,2,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1326,0.9642471703398866,0.9925470430824962,0.0062999575436337
Alabama,0.998,2,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1326,0.8959702810870359,0.9793636908347368,0.0194833097913932
Alabama,0.998,2,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1326,0.8318199261170812,0.965417619760606,0.033429380865524
Alabama,0.998,2,MDCA,none,none,6,0.0,1293,1.0,0.9988430685725168,-3.3306690738754696e-16
Alabama,0.998,2,MDCA,none,none,6,0.01,1293,0.9646696116136704,0.9919380768668682,0.0069049917056482
Alabama,0.998,2,MDCA,none,none,6,0.03,1293,0.8972111022897169,0.9775685569586612,0.0212745116138554
Alabama,0.998,2,MDCA,none,none,6,0.05,1293,0.8338439307327915,0.9624701720563372,0.0363728965161792
Alabama,0.998,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1331,1.0,0.9988432767479138,1.887379141862766e-15
Alabama,0.998,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1331,0.9659321347555044,0.9918438344196736,0.0069994423282422
Alabama,0.998,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1331,0.9008109637519938,0.9772983080274464,0.0215449687204691
Alabama,0.998,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1331,0.8395435196280989,0.9620417515533009,0.0368015251946148
Alabama,0.998,3,MDCA,none,none,6,0.0,1281,1.0,0.9988582123220956,1.5543122344752194e-15
Alabama,0.998,3,MDCA,none,none,6,0.01,1281,0.9662987965040376,0.9912964697397956,0.0075617425823018
Alabama,0.998,3,MDCA,none,none,6,0.03,1281,0.9018597072765716,0.9756757205635576,0.0231824917585397
Alabama,0.998,3,MDCA,none,none,6,0.05,1281,0.8412082600507415,0.959408684352527,0.0394495279695702
Alabama,0.998,4,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1357,1.0,0.9988568127902742,8.881784197001252e-16
Alabama,0.998,4,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1357,0.9640642514795946,0.992701634168378,0.006155178621897
Alabama,0.998,4,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1357,0.8954896764932121,0.9797798718229248,0.0190769409673503
Alabama,0.998,4,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1357,0.8311238445329773,0.966059127840406,0.0327976849498691
Alabama,0.998,4,MDCA,none,none,6,0.0,1304,1.0,0.9988700120443456,1.7763568394002505e-15
Alabama,0.998,4,MDCA,none,none,6,0.01,1304,0.9654341808854056,0.9920182422144672,0.00685176982988
Alabama,0.998,4,MDCA,none,none,6,0.03,1304,0.8993385178480064,0.977769974132818,0.0211000379115293
Alabama,0.998,4,MDCA,none,none,6,0.05,1304,0.837127499149252,0.9628114819735962,0.0360585300707511
Alabama,0.998,5,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1356,1.0,0.9988403750083786,1.5543122344752194e-15
Alabama,0.998,5,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1356,0.9645727091113404,0.9925628916761616,0.0062774833322185
Alabama,0.998,5,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1356,0.8969138715616237,0.9794109105248996,0.0194294644834805
Alabama,0.998,5,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1356,0.8333398121543134,0.9654792391519704,0.0333611358564096
Alabama,0.998,5,MDCA,none,none,6,0.0,1306,1.0,0.9988468936153664,1.4432899320127037e-15
Alabama,0.998,5,MDCA,none,none,6,0.01,1306,0.9650913300854448,0.9915136289744784,0.0073332646408896
Alabama,0.998,5,MDCA,none,none,6,0.03,1306,0.8984061560190185,0.976321102509595,0.0225257911057729
Alabama,0.998,5,MDCA,none,none,6,0.05,1306,0.8357228080852792,0.9604444153872173,0.0384024782281507
Alabama,0.999,1,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1087,1.0,0.9993669324969146,-6.661338147750939e-16
Alabama,0.999,1,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1087,0.9653211542454097,0.9932306052137052,0.0061363272832087
Alabama,0.999,1,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1087,0.8990019474938732,0.9804250646196088,0.0189418678773052
Alabama,0.999,1,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1087,0.8365708630404782,0.9669201887472394,0.0324467437496744
Alabama,0.999,1,MDCA,none,none,6,0.0,898,1.0,0.9993767320285944,1.1102230246251563e-16
Alabama,0.999,1,MDCA,none,none,6,0.01,898,0.9680940492092742,0.992441659065103,0.0069350729634916
Alabama,0.999,1,MDCA,none,none,6,0.03,898,0.906884214394334,0.9781077505095808,0.0212689815190137
Alabama,0.999,1,MDCA,none,none,6,0.05,898,0.8490128550946544,0.9631678714610928,0.0362088605675018
Alabama,0.999,2,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1116,1.0,0.9993807982972224,-1.9984014443252818e-15
Alabama,0.999,2,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1116,0.9655143587801694,0.99331727047902,0.0060635278182005
Alabama,0.999,2,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1116,0.8996054770520618,0.9806610579735594,0.0187197403236609
Alabama,0.999,2,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1116,0.8376116457913305,0.9673082923408088,0.0320725059564116
Alabama,0.999,2,MDCA,none,none,6,0.0,944,1.0,0.9993885881853156,-2.3314683517128287e-15
Alabama,0.999,2,MDCA,none,none,6,0.01,944,0.9676507258425318,0.9928667538376308,0.0065218343476822
Alabama,0.999,2,MDCA,none,none,6,0.03,944,0.9056953618796078,0.9793317528959222,0.0200568352893909
Alabama,0.999,2,MDCA,none,none,6,0.05,944,0.8472501441671078,0.965152096936692,0.0342364912486212
Alabama,0.999,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1115,1.0,0.9993825276388516,5.551115123125784e-16
Alabama,0.999,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1115,0.9652582799279512,0.9935311699365352,0.0058513577023169
Alabama,0.999,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1115,0.8988352968169632,0.9812868053886672,0.0180957222501849
Alabama,0.999,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1115,0.8363266141535871,0.968329670667014,0.0310528569718382
Alabama,0.999,3,MDCA,none,none,6,0.0,926,1.0,0.9994059352449955,4.440892098500626e-16
Alabama,0.999,3,MDCA,none,none,6,0.01,926,0.9683245589858848,0.9925828324346596,0.0068231028103363
