region,fixed_reliability,method,share,share_tag,domain_count,domain_failure_prob,total_accepted_mean,total_accepted_std,total_accepted_count,expected_target_satisfaction_ratio_mean,expected_target_satisfaction_ratio_std,expected_target_satisfaction_ratio_count,expected_reliability_mean,expected_reliability_std,expected_reliability_count,expected_reliability_loss_mean,expected_reliability_loss_std,expected_reliability_loss_count,total_accepted_ci95,expected_target_satisfaction_ratio_ci95,expected_reliability_ci95,expected_reliability_loss_ci95
Alabama,0.95,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1432.6,26.225941355840774,5,0.9168076766651619,0.00033675409775167935,5,0.9385304302911125,0.0008129653497037398,5,0.036927287589402724,0.0005041074215916656,5,22.988051157068533,0.00029517798127555597,0.0007125955478334796,0.000441869637355312
Alabama,0.95,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1432.6,26.225941355840774,5,0.864533901519086,0.0005220430642866406,5,0.9136962505269149,0.001098329943344042,5,0.06176146735360024,0.0008066336539403186,5,22.988051157068533,0.0004575909213394587,0.000962728642696007,0.0007070455717946427
Alabama,0.95,MDCA,none,none,6,0.0,1437.8,26.06146580681906,5,1.0,0.0,5,0.9738287447635663,0.00018337513059733142,5,6.661338147750935e-17,1.3835535010708338e-15,5,22.84388198183487,0.0,0.00016073538890021247,1.2127381141296673e-15
Alabama,0.95,MDCA,none,none,6,0.01,1437.8,26.06146580681906,5,0.9717487153795542,0.0002601930036990377,5,0.9602718297341404,0.00022756790070273107,5,0.013556915029426,0.00015608804222614394,5,22.84388198183487,0.00022806922346802521,0.00019947205982356604,0.0001368172013738661
Alabama,0.95,MDCA,none,none,6,0.03,1437.8,26.06146580681906,5,0.9172072591011118,0.0007438820406309011,5,0.9331476120154131,0.00047199565689402557,5,0.04068113274815338,0.0004535197985062998,5,22.84388198183487,0.0006520413575560388,0.00041372243456865335,0.0003975276306520216
Alabama,0.95,MDCA,none,none,6,0.05,1437.8,26.06146580681906,5,0.8651991701988468,0.0011812737712841863,5,0.906032431098623,0.0007381142614522619,5,0.06779631366494338,0.0007318087037707754,5,22.84388198183487,0.0010354321134305937,0.0006469856761975979,0.0006414586111977195
Alabama,0.99,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1394.8,24.159884105682302,5,1.0,0.0,5,0.9940861386263082,9.17494288555796e-05,5,4.930380657631324e-33,8.345155887641791e-16,5,21.17707213001835,0.0,8.04219202485752e-05,7.31485165225906e-16
Alabama,0.99,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1394.8,24.159884105682302,5,0.9669007679590861,0.00041987299015732046,5,0.9853838468342111,0.0001648354133985915,5,0.008702291792096981,0.00010182746926747973,5,21.17707213001835,0.0003680349027798821,0.00014448461026773734,8.925571215747146e-05
Alabama,0.99,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1394.8,24.159884105682302,5,0.9034207947411577,0.0011829801671567348,5,0.9674637168366456,0.00034786654510488387,5,0.026622421789662558,0.0002955807190968221,5,21.17707213001835,0.0010369278353602406,0.00030491847084537804,0.0002590879236495952
Alabama,0.99,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1394.8,24.159884105682302,5,0.8434310816668109,0.001850639279441412,5,0.9488873776447407,0.0005266806150751332,5,0.04519876098156718,0.00047632863248411433,5,21.17707213001835,0.0016221568504195985,0.00046165591383386106,0.00041752045513068493
Alabama,0.99,MDCA,none,none,6,0.0,1386.2,19.917329138215287,5,1.0,0.0,5,0.994122707488992,8.895002343539355e-05,5,8.881784197001253e-17,7.586975298354787e-16,5,17.458308738248387,0.0,7.796813320868738e-05,6.650277064207355e-16
Alabama,0.99,MDCA,none,none,6,0.01,1386.2,19.917329138215287,5,0.9674711335999422,0.00027885803760503805,5,0.9844820979757479,0.00019209213933835137,5,0.00964060951324424,0.00011417826999195245,5,17.458308738248387,0.00024442984703755376,0.000168376183949522,0.00010008166631609047
Alabama,0.99,MDCA,none,none,6,0.03,1386.2,19.917329138215287,5,0.9050786110519773,0.0007935142650159549,5,0.9647628628946068,0.00039554830267252264,5,0.02935984459438512,0.0003222172758399951,5,17.458308738248387,0.000695545920375032,0.0003467133741189435,0.00028243589506278576
Alabama,0.99,MDCA,none,none,6,0.05,1386.2,19.917329138215287,5,0.8461067592084411,0.0012536660676929047,5,0.9444903585517963,0.0005764043124926562,5,0.04963234893719582,0.0005047186118282021,5,17.458308738248387,0.0010988867589909075,0.0005052406563009849,0.0004424053692184179
Alabama,0.996,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1399.2,10.329569206893387,5,1.0,0.0,5,0.9978770267651169,2.8315130143850506e-05,5,6.217248937900876e-16,1.1035415816519724e-15,5,9.05426661856166,0.0,2.4819305871029735e-05,9.672968450880064e-16
Alabama,0.996,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1399.2,10.329569206893387,5,0.9653741930649448,0.00022952358270480035,5,0.9907013047552329,0.00024743770454051613,5,0.0071757220098845,0.00023587931793086575,5,9.05426661856166,0.0002011862906799659,0.00021688871079925836,0.00020675733823684306
Alabama,0.996,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1399.2,10.329569206893387,5,0.8991500280919926,0.0006505287374333389,5,0.9757783848838579,0.0007008731109463914,5,0.02209864188125954,0.0006904399103363573,5,9.05426661856166,0.0005702135794615136,0.0006143423685137004,0.0006051972649652542
Alabama,0.996,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1399.2,10.329569206893387,5,0.836800543985408,0.0010249063635580666,5,0.9601156111183734,0.0011322374904253795,5,0.03776141564674422,0.0011222043631518431,5,9.05426661856166,0.0008983700373992533,0.0009924499181438063,0.000983655494336515
Alabama,0.996,MDCA,none,none,6,0.0,1365.8,16.361540269791238,5,1.0,0.0,5,0.9978928165319635,3.301904050994857e-05,5,6.88338275267597e-16,7.381104677948018e-16,5,14.341522373862546,0.0,2.8942465099739963e-05,6.469823509101918e-16
Alabama,0.996,MDCA,none,none,6,0.01,1365.8,16.361540269791238,5,0.9660956625755448,0.0004097135300483887,5,0.9898445133505505,0.00020086850419225662,5,0.00804830318141372,0.00021458074753507106,5,14.341522373862546,0.0003591297433599041,0.0001760690069257335,0.00018808831815524674
Alabama,0.996,MDCA,none,none,6,0.03,1365.8,16.361540269791238,5,0.9012137764904139,0.0011651129818039108,5,0.9732445756942525,0.0006086110313058217,5,0.0246482408377117,0.0006237402026994022,5,14.341522373862546,0.0010212665568821676,0.0005334710900395814,0.000546732393465862
Alabama,0.996,MDCA,none,none,6,0.05,1365.8,16.361540269791238,5,0.8400787449065499,0.001839359527765227,5,0.9559960826934197,0.0009912051058792602,5,0.04189673383854442,0.0010066016301053258,5,14.341522373862546,0.0016122697121448435,0.0008688295825852629,0.0008823252311016227
Alabama,0.998,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1342.0,14.159802258506307,5,1.0,0.0,5,0.9988457877049182,6.656566605486923e-06,5,6.883382752675971e-16,1.097381189754249e-15,5,12.41161391600625,0.0,5.834737887252186e-06,9.61897023507878e-16
Alabama,0.998,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1342.0,14.159802258506307,5,0.964729712059875,0.0007342815775411874,5,0.9923617517607702,0.00035425188145098635,5,0.00648403594414858,0.000350709695031406,5,12.41161391600625,0.0006436261806270884,0.0003105154649279902,0.00030741060163571
Alabama,0.998,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1342.0,14.159802258506307,5,0.8973696174777125,0.0020993531830853407,5,0.978811842189528,0.0010317232024017679,5,0.02003394551539096,0.0010282223463584125,5,12.41161391600625,0.0018401641990544828,0.0009043452600973824,0.0009012766244771642
Alabama,0.998,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1342.0,14.159802258506307,5,0.8340734866385462,0.003333781867655694,5,0.9645024913864008,0.0016767191730955352,5,0.0343432963185181,0.0016732359948846388,5,12.41161391600625,0.0029221886482678496,0.0014697091556858048,0.0014666560153689255
Alabama,0.998,MDCA,none,none,6,0.0,1292.8,12.275992831539126,5,1.0,0.0,5,0.9988546425697808,1.0525146458498212e-05,5,9.547918011776346e-16,9.10788968777329e-16,5,10.76038214934767,0.0,9.225697638096056e-06,7.983417305584721e-16
Alabama,0.998,MDCA,none,none,6,0.01,1292.8,12.275992831539126,5,0.965287156810051,0.0006292788700897422,5,0.9917189709627067,0.0003042310438238357,5,0.007135671607075141,0.0003026102583229581,5,10.76038214934767,0.0005515872494873698,0.00026667026758346807,0.0002652495864531712
Alabama,0.998,MDCA,none,none,6,0.03,1292.8,12.275992831539126,5,0.8989551135743483,0.0017969888808684997,5,0.9769133741336626,0.0008869631751934164,5,0.0219412684361192,0.0008853680166474792,5,10.76038214934767,0.0015751302026338243,0.0007774575016824445,0.0007760592835685476
Alabama,0.998,MDCA,none,none,6,0.05,1292.8,12.275992831539126,5,0.8365776554922848,0.0028496890676431644,5,0.9614122470036086,0.001439831770677059,5,0.037442395566173084,0.0014381666703494485,5,10.76038214934767,0.0024978626002353514,0.0012620681924359306,0.0012606086676473522
Alabama,0.999,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1109.6,12.720062892926284,5,1.0,0.0,5,0.9993723630595348,9.564796088549093e-06,5,-5.773159728050814e-16,9.595564536871448e-16,5,11.149626720209067,0.0,8.383913424005949e-06,8.410883158076891e-16
Alabama,0.999,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1109.6,12.720062892926284,5,0.9654722414663588,0.0004090977117436269,5,0.9933562897863387,0.00020059840001295466,5,0.0060160732731956,0.00019435541274604134,5,11.149626720209067,0.0003585899548161519,0.00017583225017382882,0.0001703600305605098
Alabama,0.999,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1109.6,12.720062892926284,5,0.8994473109487995,0.0011597524960909756,5,0.9807954413230624,0.0005755512913381026,5,0.01857692173647196,0.000569455402514545,5,11.149626720209067,0.0010165678839870996,0.0005044929502921531,0.0004991496681493946
Alabama,0.999,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1109.6,12.720062892926284,5,0.8372992356606618,0.0018260459523302096,5,0.9675393132377119,0.0009319575139439299,5,0.031833049821822404,0.0009259449986778373,5,11.149626720209067,0.0016005998487438795,0.0008168967785015447,0.000811626576504081
Alabama,0.999,MDCA,none,none,6,0.0,918.6,17.487138130637618,5,1.0,0.0,5,0.9993864321578488,1.2247342564318702e-05,5,-3.552713678800501e-16,1.2146672020747797e-15,5,15.32815240007745,0.0,1.0735269082893813e-05,1.0647027460804429e-15
Alabama,0.999,MDCA,none,none,6,0.01,918.6,17.487138130637618,5,0.9680124248013972,0.0006333612236150521,5,0.9926866060947681,0.00035595457798945514,5,0.0066998260630802995,0.00035326356476732376,5,15.32815240007745,0.0005551655901237548,0.0003120079442483769,0.0003096491671591051
Alabama,0.999,MDCA,none,none,6,0.03,918.6,17.487138130637618,5,0.9066517507437106,0.001773375168743311,5,0.9788051606057111,0.0010414207584210126,5,0.02058127155213742,0.0010388413133294355,5,15.32815240007745,0.0015544318713527291,0.0009128455427314426,0.0009105845594203923
Alabama,0.999,MDCA,none,none,6,0.05,918.6,17.487138130637618,5,0.8486443123687348,0.0027568618266882896,5,0.964293143763518,0.0016974416665644179,5,0.03509328839433052,0.001694865459623147,5,15.32815240007745,0.002416495936027325,0.0014878732220771778,0.0014856150771300422
