experiment,region,x_name,x_value,method,total_runtime_s_mean,total_runtime_s_std,total_runtime_s_count,avg_runtime_per_slot_s_mean,avg_runtime_per_slot_s_std,avg_runtime_per_slot_s_count,avg_runtime_per_arrival_ms_mean,avg_runtime_per_arrival_ms_std,avg_runtime_per_arrival_ms_count,acceptance_ratio_mean,acceptance_ratio_std,acceptance_ratio_count,avg_cost_per_accepted_mean,avg_cost_per_accepted_std,avg_cost_per_accepted_count,avg_e2e_delay_accepted_mean,avg_e2e_delay_accepted_std,avg_e2e_delay_accepted_count,p95_e2e_delay_accepted_mean,p95_e2e_delay_accepted_std,p95_e2e_delay_accepted_count,total_arrivals_mean,total_arrivals_std,total_arrivals_count,total_accepted_mean,total_accepted_std,total_accepted_count,region_cloudlet_count_mean,region_cloudlet_count_std,region_cloudlet_count_count,total_runtime_s_ci95,avg_runtime_per_slot_s_ci95,avg_runtime_per_arrival_ms_ci95,acceptance_ratio_ci95,avg_cost_per_accepted_ci95,avg_e2e_delay_accepted_ci95,p95_e2e_delay_accepted_ci95,total_arrivals_ci95,total_accepted_ci95,region_cloudlet_count_ci95
length_sweep,Arizona,fixed_sfc_len,3.0,DMDCA,2.859416959993541,0.12662805388736,5,0.023828474666612844,0.0010552337823946675,5,1.1830045662630504,0.0535138976133884,5,0.8093797201800002,0.011075068175178933,5,59.00382875442,1.0989999118069675,5,0.07093757314,0.0004416891463326684,5,0.11649473592,0.0015010864603670101,5,2417.4,39.01666310693416,5,1956.4,27.57353803921433,5,314.0,0.0,5,0.11099438304945226,0.0009249531920787685,0.04690699941936409,0.009707725275696698,0.9633158959461259,0.00038715760680049034,0.0013157602952701918,34.199613097226695,24.169271730856927,0.0
length_sweep,Arizona,fixed_sfc_len,3.0,MDCA,2.505789139994886,0.14290374671461045,5,0.02088157616662405,0.0011908645559550847,5,1.0372826211928357,0.07130569360597266,5,0.65023832094,0.005871441037286389,5,56.63086580546,1.2017758370469098,5,0.06471940076,0.00030641971720840063,5,0.10979030192000001,0.0012764841238999724,5,2417.4,39.01666310693416,5,1571.8,22.58760722166028,5,314.0,0.0,5,0.12526065682216617,0.0010438388068513844,0.06250219620960501,0.005146544983819651,1.0534029664186102,0.0002685887243911049,0.001118887667109928,34.199613097226695,19.79891067710544,0.0
length_sweep,Arizona,fixed_sfc_len,6.0,DMDCA,4.396648459986318,0.14537645295639545,5,0.03663873716655265,0.001211470441303294,5,1.8529253687715355,0.07862833861115841,5,0.37894020008,0.010481495782548436,5,125.01183971766,2.7800535053109448,5,0.13551992446,0.0008975749091073735,5,0.19806311442,0.006257999295188903,5,2373.8,43.21689484449344,5,899.4,24.55198566307824,5,314.0,0.0,5,0.1274280794062138,0.0010619006617184467,0.06892077755622926,0.009187436133657013,2.436824338633045,0.0007867590965716145,0.005485378236257756,37.88127854230899,21.52076429869534,0.0
length_sweep,Arizona,fixed_sfc_len,6.0,MDCA,3.645829420001246,0.16803528132330867,5,0.030381911833343718,0.0014002940110275743,5,1.5358878857973195,0.06561343994619681,5,0.16398826760000002,0.005171497749309536,5,98.06927696442,3.6237731375547066,5,0.1244922853,0.0010884312179262167,5,0.18914929013999998,0.005489205503752991,5,2373.8,43.21689484449344,5,389.2,11.344602240713426,5,314.0,0.0,5,0.1472894181696298,0.00122741181808025,0.05751271588726007,0.004533017641073772,3.1763772036791282,0.0009540520273094384,0.0048115007663522055,37.88127854230899,9.943982300869203,0.0
load_sweep,Alabama,arrival_rate,10.0,DMDCA,1.2515668600215577,0.038180668646328686,5,0.01042972383351298,0.0003181722387194062,5,1.0354404805310398,0.028226385138844904,5,0.80689154064,0.009064679074075278,5,63.74287383416,2.452285270781922,5,0.06837297964,0.0009053731011106447,5,0.11455644392,0.0022383922106208125,5,1209.0,33.511192160232056,5,975.4,23.006520814760318,5,137.0,0.0,5,0.03346683164367764,0.00027889026369731383,0.02474151744438243,0.00794554153271006,2.149522813750421,0.0007935945132406101,0.001962037280155633,29.37385504151608,20.16610463128663,0.0
load_sweep,Alabama,arrival_rate,10.0,MDCA,1.1540976200019941,0.047706431604756204,5,0.009617480166683285,0.00039755359670630165,5,0.9544650836060182,0.023707187839013027,5,0.6536787432600001,0.012506800318230024,5,62.40528958861999,2.3876246263730225,5,0.0628628345,0.0009524554492809694,5,0.10957367506,0.0030876958896820243,5,1209.0,33.511192160232056,5,790.0,10.793516572461451,5,137.0,0.0,5,0.04181653102061424,0.0003484710918384518,0.02078026635684867,0.010962693831490735,2.0928452599744625,0.0008348640110118829,0.002706484778044872,29.37385504151608,9.46093441473938,0.0
load_sweep,Alabama,arrival_rate,30.0,DMDCA,2.2901436000014654,0.11020803681220002,5,0.01908453000001221,0.0009184003067683335,5,0.6401284503315907,0.024852103476541317,5,0.46379012924000007,0.005626372674049109,5,61.1280446065,2.2925082547106475,5,0.07801249219999999,0.0012797825392037436,5,0.12463804138000001,0.0018025381710178017,5,3576.6,36.90257443593876,5,1658.8,26.938819573247827,5,137.0,0.0,5,0.09660160349572033,0.0008050133624643359,0.021783829160902848,0.004931733092241067,2.009472084232866,0.0011217788555981292,0.001579994369914105,32.34653267353396,23.61291646535853,0.0
load_sweep,Alabama,arrival_rate,30.0,MDCA,1.915338359994348,0.11797848589641446,5,0.0159611529999529,0.0009831540491367873,5,0.5354272527536832,0.030567535939794867,5,0.4131923204,0.007930310613032704,5,64.4806497412,2.5522795695866733,5,0.07089653700000001,0.0009506948384277666,5,0.11606257285999999,0.0013757344180692374,5,3576.6,36.90257443593876,5,1477.8,30.687130853176875,5,137.0,0.0,5,0.10341270242397813,0.0008617725201998177,0.026793626600291293,0.006951223736464224,2.2371716811504445,0.0008333207675564039,0.001205884385693261,32.34653267353396,26.898456163876762,0.0
load_sweep,Alabama,arrival_rate,50.0,DMDCA,3.110030099994037,0.07976272547463839,5,0.025916917499950308,0.0006646893789553203,5,0.5176223516280445,0.01381234870904316,5,0.32374225138,0.0046618571590377016,5,56.76069528328001,1.6965965664763833,5,0.08359774756,0.000280575139009417,5,0.13131866596,0.001652481201439005,5,6008.6,52.54331546448132,5,1945.2,29.953296980466106,5,137.0,0.0,5,0.06991511148292263,0.0005826259290243561,0.012107057451801973,0.0040862979675289094,1.4871324591893025,0.0002459349527796304,0.0014484636367995795,46.05624665558408,26.25522241383607,0.0
load_sweep,Alabama,arrival_rate,50.0,MDCA,2.657902199984528,0.05563010632692289,5,0.02214918499987107,0.0004635842193910253,5,0.4424157692983606,0.011960954246612077,5,0.29359503802,0.00641815976888329,5,60.655998301080004,1.9137289133560929,5,0.07671067758000001,0.00030332764611103977,5,0.12309007540000001,0.0015639006206077952,5,6008.6,52.54331546448132,5,1764.0,36.29049462324809,5,137.0,0.0,5,0.04876193814227597,0.00040634948451896664,0.010484238654306238,0.005625765081201528,1.6774573527822418,0.000265878404574441,0.001370819334311391,46.05624665558408,31.810021062551964,0.0
