region,fixed_reliability,method,share,share_tag,domain_count,domain_failure_prob,total_accepted_mean,total_accepted_std,total_accepted_count,expected_target_satisfaction_ratio_mean,expected_target_satisfaction_ratio_std,expected_target_satisfaction_ratio_count,expected_reliability_mean,expected_reliability_std,expected_reliability_count,expected_reliability_loss_mean,expected_reliability_loss_std,expected_reliability_loss_count,total_accepted_ci95,expected_target_satisfaction_ratio_ci95,expected_reliability_ci95,expected_reliability_loss_ci95
Alabama,0.996,MDCA,none,none,6,0.0,1365.8,16.361540269791238,5,1.0,0.0,5,0.9978928165319635,3.301904050995926e-05,5,6.883382752675971e-16,7.381104677948019e-16,5,14.341522373862546,0.0,2.894246509976594e-05,6.469823509101917e-16
Alabama,0.996,MDCA,none,none,6,0.01,1365.8,16.361540269791238,5,0.9660956625755448,0.0004097135300483532,5,0.9898445133505505,0.00020086850419218742,5,0.008048303181413785,0.00021458074753510057,5,14.341522373862546,0.0003591297433598783,0.00017606900692565975,0.00018808831815527265
Alabama,0.996,MDCA,none,none,6,0.03,1365.8,16.361540269791238,5,0.9012137764904139,0.0011651129818038817,5,0.9732445756942525,0.000608611031305767,5,0.024648240837711756,0.0006237402026994307,5,14.341522373862546,0.0010212665568821303,0.000533471090039544,0.0005467323934658865
Alabama,0.996,MDCA,none,none,6,0.05,1365.8,16.361540269791238,5,0.8400787449065499,0.001839359527765227,5,0.9559960826934197,0.0009912051058792886,5,0.04189673383854446,0.0010066016301053355,5,14.341522373862546,0.0016122697121448435,0.0008688295825852681,0.0008823252311016307
Alabama,0.998,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1342.0,14.159802258506307,5,1.0,0.0,5,0.9988457877049182,6.65656660552954e-06,5,6.883382752675971e-16,1.097381189754249e-15,5,12.41161391600625,0.0,5.834737887263522e-06,9.61897023507878e-16
Alabama,0.998,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1342.0,14.159802258506307,5,0.964729712059875,0.0007342815775411331,5,0.9923617517607702,0.0003542518814510194,5,0.006484035944148636,0.0003507096950313896,5,12.41161391600625,0.0006436261806270451,0.00031051546492802574,0.0003074106016356957
Alabama,0.998,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1342.0,14.159802258506307,5,0.8973696174777125,0.0020993531830853407,5,0.9788118421895279,0.0010317232024016783,5,0.020033945515391016,0.001028222346358416,5,12.41161391600625,0.0018401641990544828,0.000904345260097311,0.0009012766244771666
Alabama,0.998,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1342.0,14.159802258506307,5,0.8340734866385462,0.003333781867655694,5,0.9645024913864008,0.0016767191730955382,5,0.03434329631851816,0.0016732359948846641,5,12.41161391600625,0.0029221886482678496,0.0014697091556857976,0.001466656015368947
Alabama,0.998,DMDCA,"0.6,0.4",0p6_0p4,6,0.0,1342.0,16.170961628796217,5,1.0,0.0,5,0.9988457987618252,6.565228012012086e-06,5,4.884981308350689e-16,9.308675526511305e-16,5,14.1744728297034,0.0,5.754676080066915e-06,8.159413853045026e-16
Alabama,0.998,DMDCA,"0.6,0.4",0p6_0p4,6,0.01,1342.0,16.170961628796217,5,0.9646601092011384,0.0008232262703911203,5,0.9923047829820624,0.00043588709870506976,5,0.006541015779763315,0.00043113983415607254,5,14.1744728297034,0.00072158964137161,0.0003820718878221148,0.00037791072697653785
